Symbol,Industry,Name,Revenue
^NSEI,Index,Nifty 50 Index,0
^NSEBANK,Index,Nifty Bank,0
^CNXPSUBANK,Index,NIFTY PSU BANK,0
NPBET.NS,Index,Tata Nifty Private Bank ETF,0
^CNXIT,Index,NIFTY IT,0
^CNXAUTO,Index,NIFTY AUTO,0
^CNXMETAL,Index,NIFTY METAL,0
^CNXFMCG,Index,NIFTY FMCG,0
^CNXENERGY,Index,NIFTY ENERGY,0
^CNXREALTY,Index,NIFTY REALTY,0
^CNXMEDIA,Index,NIFTY MEDIA,0
^CNXCONSUM,Index,NIFTY CONSUMPTION
PHARMABEES.NS,Index,NIFTY PHARMA,0
ICICIPHARM.NS,Index,NIFTY HEALTHCARE,0
^NSMIDCP,Index,NIFTY NEXT 50 Midcap,0
^NSEMDCP50,Index,NIFTY MIDCAP 50,0
JUNIORBEES.NS,Index,Nippon Nifty Next 50 Junior BeES,0
GOLDBEES.NS,Index,Nippon Gold BeES,0
SILVERBEES.NS,Index,Nippon Silver ETF,0
